sample_ID,time_point,treatment,TANK_NUM,metric_id,width1,width2
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_1,0.422,0.448
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_2,0.398,0.422
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_3,0.442,0.452
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_4,0.442,0.457
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_5,0.398,0.452
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_6,0.467,0.486
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_7,0.455,0.453
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_8,0.428,0.413
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_9,0.432,0.403
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_10,0.437,0.437
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_11,0.467,0.447
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_12,0.437,0.432
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_13,0.442,0.447
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_14,0.393,0.398
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_15,0.4,0.419
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_16,0.437,0.418
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_17,0.447,0.462
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_18,0.437,0.432
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_19,0.447,0.467
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_20,0.413,0.403
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_21,0.452,0.452
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_22,0.428,0.447
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_23,0.481,0.476
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_24,0.428,0.462
139,Fertilized_embryos,xl,5,139_fertilzed_embryos_25,0.457,0.462
140,Fertilized_embryos,l,6,140_fertilzed_embryos_1,0.465,0.477
140,Fertilized_embryos,l,6,140_fertilzed_embryos_2,0.488,0.471
140,Fertilized_embryos,l,6,140_fertilzed_embryos_3,0.46,0.454
140,Fertilized_embryos,l,6,140_fertilzed_embryos_4,0.477,0.454
140,Fertilized_embryos,l,6,140_fertilzed_embryos_5,0.454,0.443
140,Fertilized_embryos,l,6,140_fertilzed_embryos_6,0.431,0.465
140,Fertilized_embryos,l,6,140_fertilzed_embryos_7,0.482,0.465
140,Fertilized_embryos,l,6,140_fertilzed_embryos_8,0.488,0.494
140,Fertilized_embryos,l,6,140_fertilzed_embryos_9,0.482,0.448
140,Fertilized_embryos,l,6,140_fertilzed_embryos_10,0.463,0.46
140,Fertilized_embryos,l,6,140_fertilzed_embryos_11,0.505,0.516
140,Fertilized_embryos,l,6,140_fertilzed_embryos_12,0.505,0.477
140,Fertilized_embryos,l,6,140_fertilzed_embryos_13,0.499,0.471
140,Fertilized_embryos,l,6,140_fertilzed_embryos_14,0.471,0.499
140,Fertilized_embryos,l,6,140_fertilzed_embryos_15,0.454,0.471
140,Fertilized_embryos,l,6,140_fertilzed_embryos_16,0.477,0.443
140,Fertilized_embryos,l,6,140_fertilzed_embryos_17,0.434,0.436
140,Fertilized_embryos,l,6,140_fertilzed_embryos_18,0.437,0.437
140,Fertilized_embryos,l,6,140_fertilzed_embryos_19,0.511,0.454
140,Fertilized_embryos,l,6,140_fertilzed_embryos_20,0.46,0.454
140,Fertilized_embryos,l,6,140_fertilzed_embryos_21,0.46,0.443
140,Fertilized_embryos,l,6,140_fertilzed_embryos_22,0.471,0.477
140,Fertilized_embryos,l,6,140_fertilzed_embryos_23,0.426,0.426
140,Fertilized_embryos,l,6,140_fertilzed_embryos_24,0.454,0.448
140,Fertilized_embryos,l,6,140_fertilzed_embryos_25,0.477,0.482
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_1,0.48,0.486
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_2,0.456,0.465
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_3,0.497,0.462
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_4,0.474,0.474
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_5,0.465,0.474
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_6,0.459,0.435
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_7,0.456,0.45
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_8,0.491,0.465
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_9,0.459,0.444
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_10,0.438,0.429
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_11,0.444,0.468
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_12,0.468,0.468
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_13,0.447,0.459
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_14,0.48,0.468
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_15,0.453,0.447
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_16,0.485,0.471
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_17,0.456,0.45
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_18,0.441,0.444
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_19,0.435,0.397
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_20,0.468,0.459
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_21,0.459,0.462
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_22,0.485,0.477
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_23,0.515,0.491
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_24,0.441,0.426
141,Fertilized_embryos,AMB,7,141_fertilzed_embryos_25,0.527,0.515
142,Fertilized_embryos,l,8,142_fertilzed_embryos_1,0.432,0.432
142,Fertilized_embryos,l,8,142_fertilzed_embryos_2,0.474,0.451
142,Fertilized_embryos,l,8,142_fertilzed_embryos_3,0.463,0.437
142,Fertilized_embryos,l,8,142_fertilzed_embryos_4,0.418,0.448
142,Fertilized_embryos,l,8,142_fertilzed_embryos_5,0.439,0.445
142,Fertilized_embryos,l,8,142_fertilzed_embryos_6,0.461,0.45
142,Fertilized_embryos,l,8,142_fertilzed_embryos_7,0.408,0.41
142,Fertilized_embryos,l,8,142_fertilzed_embryos_8,0.483,0.503
142,Fertilized_embryos,l,8,142_fertilzed_embryos_9,0.445,0.437
142,Fertilized_embryos,l,8,142_fertilzed_embryos_10,0.443,0.448
142,Fertilized_embryos,l,8,142_fertilzed_embryos_11,0.434,0.447
142,Fertilized_embryos,l,8,142_fertilzed_embryos_12,0.408,0.401
142,Fertilized_embryos,l,8,142_fertilzed_embryos_13,0.461,0.43
142,Fertilized_embryos,l,8,142_fertilzed_embryos_14,0.421,0.419
142,Fertilized_embryos,l,8,142_fertilzed_embryos_15,0.478,0.454
142,Fertilized_embryos,l,8,142_fertilzed_embryos_16,0.443,0.437
142,Fertilized_embryos,l,8,142_fertilzed_embryos_17,0.432,0.437
142,Fertilized_embryos,l,8,142_fertilzed_embryos_18,0.452,0.439
142,Fertilized_embryos,l,8,142_fertilzed_embryos_19,0.419,0.437
142,Fertilized_embryos,l,8,142_fertilzed_embryos_20,0.432,0.426
142,Fertilized_embryos,l,8,142_fertilzed_embryos_21,0.415,0.415
142,Fertilized_embryos,l,8,142_fertilzed_embryos_22,0.445,0.452
142,Fertilized_embryos,l,8,142_fertilzed_embryos_23,0.428,0.434
142,Fertilized_embryos,l,8,142_fertilzed_embryos_24,0.445,0.443
142,Fertilized_embryos,l,8,142_fertilzed_embryos_25,0.418,0.406
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_1,0.523,0.454
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_2,0.471,0.45
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_3,0.534,0.518
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_4,0.484,0.443
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_5,0.521,0.521
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_6,0.477,0.481
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_7,0.456,0.452
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_8,0.503,0.465
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_9,0.455,0.443
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_10,0.601,0.426
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_11,0.521,0.521
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_12,0.463,0.476
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_13,0.484,0.47
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_14,0.471,0.459
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_15,0.455,0.455
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_16,0.471,0.415
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_17,0.471,0.484
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_18,0.471,0.465
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_19,0.499,0.493
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_20,0.465,0.487
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_21,0.452,0.462
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_22,0.449,0.474
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_23,0.465,0.509
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_24,0.506,0.474
143,Fertilized_embryos,xl,9,143_fertilzed_embryos_25,0.433,0.434
170,Prawn_chip,AMB,1,170_prawn_chip_1,0.69,0.774
170,Prawn_chip,AMB,1,170_prawn_chip_2,0.822,0.625
170,Prawn_chip,AMB,1,170_prawn_chip_3,0.642,0.56
170,Prawn_chip,AMB,1,170_prawn_chip_4,0.488,0.508
170,Prawn_chip,AMB,1,170_prawn_chip_5,0.764,0.715
170,Prawn_chip,AMB,1,170_prawn_chip_6,0.687,0.95
170,Prawn_chip,AMB,1,170_prawn_chip_7,0.769,0.722
170,Prawn_chip,AMB,1,170_prawn_chip_8,0.494,0.46
170,Prawn_chip,AMB,1,170_prawn_chip_9,0.569,0.463
170,Prawn_chip,AMB,1,170_prawn_chip_10,0.763,0.692
170,Prawn_chip,AMB,1,170_prawn_chip_11,0.679,0.519
170,Prawn_chip,AMB,1,170_prawn_chip_12,0.81,0.649
170,Prawn_chip,AMB,1,170_prawn_chip_13,0.984,0.406
170,Prawn_chip,AMB,1,170_prawn_chip_14,0.697,0.567
170,Prawn_chip,AMB,1,170_prawn_chip_15,0.612,0.494
170,Prawn_chip,AMB,1,170_prawn_chip_16,0.713,0.567
170,Prawn_chip,AMB,1,170_prawn_chip_17,0.665,0.599
170,Prawn_chip,AMB,1,170_prawn_chip_18,0.785,0.654
170,Prawn_chip,AMB,1,170_prawn_chip_19,0.535,0.497
170,Prawn_chip,AMB,1,170_prawn_chip_20,0.7,0.521
170,Prawn_chip,AMB,1,170_prawn_chip_21,0.809,0.647
170,Prawn_chip,AMB,1,170_prawn_chip_22,0.67,0.561
170,Prawn_chip,AMB,1,170_prawn_chip_23,0.651,0.673
170,Prawn_chip,AMB,1,170_prawn_chip_24,0.825,0.478
170,Prawn_chip,AMB,1,170_prawn_chip_25,0.698,0.516
171,Prawn_chip,AMB,2,171_prawn_chip_1,0.762,0.617
171,Prawn_chip,AMB,2,171_prawn_chip_2,0.762,0.697
171,Prawn_chip,AMB,2,171_prawn_chip_3,0.902,0.687
171,Prawn_chip,AMB,2,171_prawn_chip_4,0.642,0.75
171,Prawn_chip,AMB,2,171_prawn_chip_5,1.062,0.671
171,Prawn_chip,AMB,2,171_prawn_chip_6,0.851,0.522
171,Prawn_chip,AMB,2,171_prawn_chip_7,0.81,0.642
171,Prawn_chip,AMB,2,171_prawn_chip_8,0.854,0.525
171,Prawn_chip,AMB,2,171_prawn_chip_9,0.93,0.494
171,Prawn_chip,AMB,2,171_prawn_chip_10,1.08,0.572
171,Prawn_chip,AMB,2,171_prawn_chip_11,0.836,0.552
171,Prawn_chip,AMB,2,171_prawn_chip_12,0.836,0.587
171,Prawn_chip,AMB,2,171_prawn_chip_13,0.732,0.55
171,Prawn_chip,AMB,2,171_prawn_chip_14,0.819,0.596
171,Prawn_chip,AMB,2,171_prawn_chip_15,0.977,0.684
171,Prawn_chip,AMB,2,171_prawn_chip_16,0.879,0.58
171,Prawn_chip,AMB,2,171_prawn_chip_17,0.801,0.595
171,Prawn_chip,AMB,2,171_prawn_chip_18,1.039,0.517
171,Prawn_chip,AMB,2,171_prawn_chip_19,0.697,0.629
171,Prawn_chip,AMB,2,171_prawn_chip_20,0.718,0.516
171,Prawn_chip,AMB,2,171_prawn_chip_21,0.759,0.628
171,Prawn_chip,AMB,2,171_prawn_chip_22,1.059,0.635
171,Prawn_chip,AMB,2,171_prawn_chip_23,0.915,0.524
171,Prawn_chip,AMB,2,171_prawn_chip_24,0.705,0.394
171,Prawn_chip,AMB,2,171_prawn_chip_25,0.847,0.658
172,Prawn_chip,l,3,172_prawn_chip_1,0.798,0.688
172,Prawn_chip,l,3,172_prawn_chip_2,0.959,0.586
172,Prawn_chip,l,3,172_prawn_chip_3,0.902,0.531
172,Prawn_chip,l,3,172_prawn_chip_4,0.93,0.735
172,Prawn_chip,l,3,172_prawn_chip_5,0.753,0.662
172,Prawn_chip,l,3,172_prawn_chip_6,0.929,0.713
172,Prawn_chip,l,3,172_prawn_chip_7,0.811,0.534
172,Prawn_chip,l,3,172_prawn_chip_8,0.833,0.622
172,Prawn_chip,l,3,172_prawn_chip_9,0.961,0.726
172,Prawn_chip,l,3,172_prawn_chip_10,0.889,0.497
172,Prawn_chip,l,3,172_prawn_chip_11,0.936,0.628
172,Prawn_chip,l,3,172_prawn_chip_12,1.002,0.632
172,Prawn_chip,l,3,172_prawn_chip_13,1.188,0.594
172,Prawn_chip,l,3,172_prawn_chip_14,0.887,0.566
172,Prawn_chip,l,3,172_prawn_chip_15,0.661,0.538
172,Prawn_chip,l,3,172_prawn_chip_16,0.839,0.635
172,Prawn_chip,l,3,172_prawn_chip_17,0.688,0.574
172,Prawn_chip,l,3,172_prawn_chip_18,0.756,0.469
172,Prawn_chip,l,3,172_prawn_chip_19,0.76,0.683
172,Prawn_chip,l,3,172_prawn_chip_20,1.014,0.667
172,Prawn_chip,l,3,172_prawn_chip_21,0.835,0.691
172,Prawn_chip,l,3,172_prawn_chip_22,0.93,0.674
172,Prawn_chip,l,3,172_prawn_chip_23,0.916,0.67
172,Prawn_chip,l,3,172_prawn_chip_24,0.672,0.634
172,Prawn_chip,l,3,172_prawn_chip_25,0.629,0.455
174,Prawn_chip,xl,5,174_prawn_chip_1,0.657,0.727
174,Prawn_chip,xl,5,174_prawn_chip_2,0.884,0.669
174,Prawn_chip,xl,5,174_prawn_chip_3,0.896,0.613
174,Prawn_chip,xl,5,174_prawn_chip_4,0.702,0.618
174,Prawn_chip,xl,5,174_prawn_chip_5,0.9,0.571
174,Prawn_chip,xl,5,174_prawn_chip_6,0.715,0.626
174,Prawn_chip,xl,5,174_prawn_chip_7,0.886,0.495
174,Prawn_chip,xl,5,174_prawn_chip_8,0.83,0.708
174,Prawn_chip,xl,5,174_prawn_chip_9,0.585,0.551
174,Prawn_chip,xl,5,174_prawn_chip_10,0.888,0.648
174,Prawn_chip,xl,5,174_prawn_chip_11,0.845,0.626
174,Prawn_chip,xl,5,174_prawn_chip_12,0.859,0.515
174,Prawn_chip,xl,5,174_prawn_chip_13,0.683,0.645
174,Prawn_chip,xl,5,174_prawn_chip_14,0.629,0.499
174,Prawn_chip,xl,5,174_prawn_chip_15,0.957,0.596
174,Prawn_chip,xl,5,174_prawn_chip_16,0.809,0.453
174,Prawn_chip,xl,5,174_prawn_chip_17,0.78,0.677
174,Prawn_chip,xl,5,174_prawn_chip_18,0.702,0.524
174,Prawn_chip,xl,5,174_prawn_chip_19,0.845,0.59
174,Prawn_chip,xl,5,174_prawn_chip_20,0.756,0.699
174,Prawn_chip,xl,5,174_prawn_chip_21,0.81,0.695
174,Prawn_chip,xl,5,174_prawn_chip_22,0.684,0.481
174,Prawn_chip,xl,5,174_prawn_chip_23,0.876,0.57
174,Prawn_chip,xl,5,174_prawn_chip_24,0.698,0.578
174,Prawn_chip,xl,5,174_prawn_chip_25,0.831,0.549
175,Prawn_chip,l,6,175_prawn_chip_1,0.869,0.655
175,Prawn_chip,l,6,175_prawn_chip_2,0.75,0.574
175,Prawn_chip,l,6,175_prawn_chip_3,0.704,0.395
175,Prawn_chip,l,6,175_prawn_chip_4,0.558,0.541
175,Prawn_chip,l,6,175_prawn_chip_5,0.627,0.589
175,Prawn_chip,l,6,175_prawn_chip_6,0.675,0.41
175,Prawn_chip,l,6,175_prawn_chip_7,0.746,0.558
175,Prawn_chip,l,6,175_prawn_chip_8,0.72,0.492
175,Prawn_chip,l,6,175_prawn_chip_9,0.746,0.608
175,Prawn_chip,l,6,175_prawn_chip_10,0.733,0.625
175,Prawn_chip,l,6,175_prawn_chip_11,0.619,0.55
175,Prawn_chip,l,6,175_prawn_chip_12,0.591,0.514
175,Prawn_chip,l,6,175_prawn_chip_13,0.583,0.586
175,Prawn_chip,l,6,175_prawn_chip_14,0.566,0.62
175,Prawn_chip,l,6,175_prawn_chip_15,0.634,0.573
175,Prawn_chip,l,6,175_prawn_chip_16,0.777,0.368
