"","X359","X361","X363","X365","X367","X371","X373","X375","X379"
"g52607",2093,2233,2318,2273,1529,2748,2274,1517,2590
"g45563",242,193,157,128,123,116,109,141,111
"g45560",1511,1229,1695,946,1297,860,796,1372,833
"adi2mcaRNA2395_R0",512,484,564,396,428,394,224,506,295
"g46145",302,272,326,264,243,424,296,193,319
"g46147",280,188,938,1126,651,373,357,220,428
"g16818",66,209,100,118,58,497,605,8,737
"g16816",4071,4976,5043,4955,5883,6694,5924,2516,9354
"g70590",427,316,748,553,491,517,368,288,808
"g70594",524,427,475,561,353,749,665,281,728
"g70598",3628,3071,3912,2537,2800,2251,1830,3166,2536
"g55922",1472,1480,1834,1452,1352,1832,1349,1358,1752
"g55920",255,196,343,357,282,264,259,149,286
"g42348",1008,977,1446,1172,1423,1362,1002,1073,1485
"g60380",347,469,490,541,344,689,517,236,867
"adi2mcaRNA23040_R0",1080,935,1658,662,915,670,378,1115,619
"g1736",173,197,77,105,36,49,43,76,37
"g62861",213,187,327,243,245,262,221,143,358
"g62860",444,329,464,483,404,494,494,289,527
"g62869",22,23,35,20,34,91,72,18,122
"g26466",481,424,589,512,275,693,437,289,580
"g62137",426,360,404,313,307,277,189,274,227
"g67506",9301,10446,10145,10443,7796,11089,8736,6579,12790
"g21708",68,54,93,124,80,156,73,37,130
"adi2mcaRNA2470_R1",402,466,327,263,265,296,243,316,152
"g69363",494,535,1413,1469,1218,1124,733,442,1292
"g69364",511,503,394,455,335,320,226,385,252
"g21220",828,836,527,438,431,412,346,433,424
"g59546",770,804,933,684,596,363,279,702,386
"g59543",5928,5622,7318,6537,7034,8255,6203,6204,8567
"g53628",1803,1841,1857,1677,1750,2278,1759,917,2726
"g58637",207,153,341,296,225,320,221,174,243
"g7285",4861,5203,6513,5104,6065,6679,4684,4729,6667
"g12314",294,389,699,672,595,430,390,329,503
"adi2mcaRNA4866_R0",141,114,155,93,142,55,48,156,111
"g48064",3704,3131,4185,2856,3065,2808,1843,3067,2688
"g50444",703,676,967,901,978,863,828,673,814
"g51105",2313,2106,2447,2142,2029,2483,1910,1763,2517
"adi2mcaRNA32295_R0",273,262,373,289,382,468,315,262,451
"g50191",1960,2110,1957,1700,1646,1490,959,1901,1336
"adi2mcaRNA37040_R1",611,469,672,396,302,340,189,554,265
"g25172",4570,5240,5639,5759,4052,5820,4258,3336,6389
"g60948",423,343,426,401,389,261,168,338,296
"adi2mcaRNA36878_R3",2666,3118,3340,2999,2976,3686,2667,2054,3217
"g9011",3609,3338,4729,2865,3038,2196,1669,3128,2137
"g33359",1584,1596,2801,2301,2123,2205,1552,1543,2270
"g41078",4611,4554,4639,4993,4119,5953,4962,3380,6398
"adi2mcaRNA21681_R1",134,145,93,57,89,80,65,114,63
"g68550",889,1074,1301,1224,1458,1707,1184,933,1557
"g6081",35,37,73,43,42,77,40,34,103
"g32953",1559,1438,2157,1676,2264,2469,1703,1553,2418
"g52100",5657,5701,5660,4830,4458,4659,3085,4595,4444
"g52107",203,221,346,237,329,329,277,264,340
"g22792",65,88,145,130,189,128,77,60,138
"g7029",310,319,489,399,302,407,288,228,375
"g22795",45,49,45,47,15,13,18,56,21
"g33705",2887,2629,2929,1826,2192,1720,1371,2006,1894
"adi2mcaRNA4380_R0",17062,16425,19540,13953,14961,12328,9557,15149,11583
"g15648",887,937,654,590,498,486,424,483,564
"g31094",770,577,760,483,659,454,380,716,393
"adi2mcaRNA3023_R0",1189,1339,1839,1561,1757,2373,1588,1582,2003
"g64389",142,134,100,53,58,76,79,147,50
"g26008",1263,1202,1415,1478,1555,1575,1380,981,1657
"g48528",6326,6474,9042,8432,7067,9606,6454,4460,9633
"g70202",1116,1079,1165,753,916,614,488,874,699
"g70203",1745,1398,2092,1305,1449,1061,865,1392,1065
"g70208",64,75,103,54,83,93,126,63,203
"g35589",2207,1579,1811,896,1293,1037,830,1580,990
"g21677",1445,1352,1719,1565,1519,1701,1205,1129,1696
"g24517",316,312,390,425,275,439,276,257,468
"g45713",1179,1293,1254,807,1133,634,706,1047,761
"g61634",115,121,115,69,47,74,40,133,23
"g26855",336,301,327,449,302,517,540,190,588
"adi2mcaRNA12375_R0",6476,7456,8422,7400,9590,10046,7100,7717,10270
"g17069",189,205,229,250,234,300,145,109,333
"g13763",455,497,464,390,342,276,149,358,239
"g50873",313,300,393,231,224,272,146,336,126
"g50871",635,641,604,677,514,650,655,393,780
"g50877",414,369,356,386,365,575,489,304,505
"g51690",1745,2018,2073,2118,2143,2217,1940,1610,2328
"adi2mcaRNA14527_R0",4188,4819,5043,5377,3727,6138,5398,3566,6612
"g2521",7220,8724,7090,6325,5213,5793,3922,6242,5338
"g55756",460,468,534,442,366,546,515,355,602
"g60176",96,72,92,82,88,46,19,66,46
"adi2mcaRNA11167_R0",2859,2889,3581,3209,3663,4727,3224,2654,4464
"g49892",553,600,634,711,527,820,467,323,707
"adi2mcaRNA10333_R0",615,643,602,487,387,432,319,458,361
"g10904",1652,1893,1863,2183,1140,2635,1564,1192,2283
"g33928",518,524,788,745,710,758,660,497,1045
"adi2mcaRNA16049_R0",7412,7711,10163,8331,9508,12284,8203,5060,12671
"adi2mcaRNA15015_R3",607,581,915,799,582,795,646,458,632
"g35510",608,449,660,304,531,300,223,483,309
"g28318",877,906,1443,1287,1096,1336,859,724,1330
"adi2mcaRNA9177_R0",2844,3536,3077,2759,4295,5246,5058,1368,7007
"g38294",345,448,144,110,194,145,114,111,120
"g22616",735,720,767,797,615,808,716,424,893
"g22611",300,326,347,262,336,365,338,156,338
"adi2mcaRNA26373_R0",644,543,640,673,536,433,285,654,410
"g66882",1046,1233,1539,1495,1439,2123,1706,1039,1763
"g66881",1500,1635,2269,1844,1746,2252,1375,1283,1996
"g71372",164,133,226,149,108,204,154,115,229
"g9776",384,357,418,580,290,588,377,313,547
"g9770",157,169,158,134,98,229,198,94,213
"g67822",4205,4271,6108,5642,6330,6751,5154,5274,6879
"g67824",615,618,410,285,372,215,194,300,258
"g29903",1228,1452,1506,1281,1173,1598,1208,954,2204
"g29904",402,325,520,224,344,193,148,298,209
"g41931",6583,6761,8025,6122,6181,5190,3778,5567,5148
"g27143",20,41,30,20,47,40,82,8,98
"g65835",903,802,1199,813,897,619,497,925,723
"g9235",146,124,99,100,80,51,45,99,85
"adi2mcaRNA29851_R1",753,1025,1218,1113,1551,1595,1278,1021,1616
"g56570",1865,1461,2028,1294,1570,1092,698,1780,1028
"g56572",1898,1901,2408,1694,1742,1208,932,1713,1340
"g66694",6773,8786,16553,15759,11234,13682,8266,6299,12868
"g39411",1273,1087,1513,1295,1148,1519,1177,928,1467
"g69877",4746,4100,5245,3277,3736,3059,2339,3594,3037
"g57760",609,501,681,272,459,258,287,496,309
"g57761",523,487,671,634,627,726,607,436,860
"g51080",43,63,119,92,62,109,71,19,61
"g48774",165,202,201,124,136,270,177,155,270
"g48777",820,754,864,593,717,924,753,605,1000
"g35300",1116,1083,1422,943,1079,763,682,950,704
"g50930",2103,1963,2208,2241,1392,2439,2166,1250,2711
"g51334",42,68,38,40,29,17,19,37,12
"g16723",705,621,968,596,651,543,338,635,427
"g50688",2656,2865,3565,3117,4030,5335,3682,2971,4368
"g50684",1535,1491,1896,1727,2387,2299,1719,1440,2542
"adi2mcaRNA10691_R3",1604,1220,1992,1307,1216,1085,808,1629,1084
"adi2mcaRNA25397_R0",978,945,940,1064,747,1386,1001,595,1495
"g28177",1181,1629,2283,2095,2227,3166,2955,1656,3452
"adi2mcaRNA25403_R1",2059,1421,1919,1320,1548,866,903,1578,1096
"g35234",458,578,601,572,500,789,518,422,651
"g40768",117,170,162,128,244,509,333,148,538
"g40769",107,117,126,117,96,159,108,67,211
"g46731",3270,3339,3701,3500,3219,3728,2943,2542,3646
"adi2mcaRNA16675_R0",1245,1372,1482,1423,1122,1445,1114,860,1542
"adi2mcaRNA5210_R3",158,148,124,146,111,108,48,127,55
"g6792",4273,4193,4659,3258,3840,2996,2455,3374,3263
"g57578",1255,961,1385,878,1017,684,568,1055,791
"g47514",1099,935,1115,836,830,644,500,935,621
"g47515",238,196,225,122,180,170,85,205,116
"g6240",1143,957,1126,894,813,801,553,849,686
"g23862",222,204,297,210,175,284,211,162,328
"g23861",2730,3079,3176,3090,2845,3673,2424,2396,3457
"g22402",2632,2474,3013,2178,2313,2110,1551,2326,1961
"g25830",891,882,1116,1130,1220,1376,1173,906,1338
"g67321",2119,2556,4945,5148,4043,4490,2743,2199,4238
"g67320",29,30,82,47,70,40,43,17,60
"g67322",165,217,734,555,541,510,380,211,502
"g31787",439,385,592,281,359,183,161,360,256
"adi2mcaRNA36296_R6",1715,1768,1382,886,1382,840,635,935,950
"g27610",1941,1783,2238,1290,1619,1154,1084,1669,1412
"g48579",1104,957,1197,1135,927,1497,1236,1113,1463
"adi2mcaRNA12617_R1",1048,1160,1370,966,898,845,484,985,738
"g20711",80,91,137,121,84,137,99,79,145
"g59326",1398,1255,1648,994,1238,1007,797,1357,971
"g2792",2454,2570,3442,2575,2776,3450,2530,2543,3546
"g2793",589,589,830,875,701,1358,1129,550,1578
"g3778",4009,3751,3991,2492,2961,2861,2105,3108,3021
"g31402",1714,2000,2755,2527,1633,3091,2284,1359,2691
"g56221",825,738,1020,728,759,1162,798,588,1057
"g56987",323,314,224,309,218,437,413,213,380
"g56980",3449,3203,4074,2805,3122,2502,1738,3115,2559
"g5325",1718,1317,1838,1223,1451,995,679,1287,887
"g5326",262,214,282,316,157,334,249,107,278
"g5322",302,272,325,227,237,175,110,310,189
"g5328",813,730,762,694,640,939,737,532,957
"g17883",1095,1270,1593,1458,1301,1386,1090,887,1931
"g50891",2234,2412,2718,2915,1830,2952,1993,1576,3201
"g34785",543,405,548,338,458,287,281,509,347
"g52720",477,433,535,468,549,798,603,403,692
"g4238",5658,5712,5782,4023,4645,3903,3028,4622,3698
"g13257",81,80,152,144,110,115,92,55,177
"g6911",15,15,60,80,77,56,60,32,53
"g41244",1131,1145,1229,1363,997,1421,1109,812,1455
"g44547",5537,5246,6803,5392,4570,4724,2965,5937,4332
"g44544",907,623,973,692,765,583,370,867,571
"g47086",208,183,215,146,164,132,102,191,130
"g43792",3035,3237,3555,3521,3212,4233,3263,2755,3495
"g48648",3815,4394,4901,5024,3414,5019,3846,3317,5154
"adi2mcaRNA39280_R3",233,168,212,137,137,61,73,171,153
"g30479",86,104,120,67,129,265,195,35,326
"g43136",289,231,148,96,82,144,102,120,69
"g24494",3074,3506,4759,4475,5013,6157,4392,4237,5835
"g46566",341,320,433,398,328,554,305,297,614
"g54985",2220,1927,2579,1456,1851,1327,1010,1887,1600
"adi2mcaRNA14019_R0",1223,1234,1412,1135,1345,1681,1068,1126,1738
"g15157",285,236,320,226,230,403,295,184,339
"g36060",2178,2130,2041,2212,1701,2517,1979,1681,2460
"g36062",448,363,358,423,311,536,522,321,511
"g36064",602,528,547,439,431,277,336,354,304
"g36065",1251,938,1291,816,898,680,611,980,561
"g57117",3372,4020,4772,4552,4759,6368,4815,3666,6219
"g21347",140,161,176,190,97,241,216,127,196
"adi2mcaRNA9458_R0",1165,1111,1735,1341,1582,2115,1385,1500,1739
"adi2mcaRNA5355_R0",592,543,751,440,406,307,166,532,257
"g63296",105,140,155,165,257,278,259,91,426
"g58774",2984,2753,4034,2857,2754,1778,1098,3888,2072
"g58775",676,738,906,773,691,454,261,917,569
"g58776",175,193,294,219,219,100,89,260,148
"g58777",11717,12394,13765,11237,10367,9385,6724,13022,8463
"g20697",2558,2874,3001,3127,1808,3317,2400,1774,3592
"g56391",1248,1230,2087,1789,1631,2377,1555,961,2541
"adi2mcaRNA7108_R2",426,382,564,494,717,586,558,446,852
"g24278",10019,9979,15146,11713,11544,12224,8950,7959,12870
"g24279",98,64,66,47,48,42,31,61,27
"g60202",1242,1164,1303,692,974,777,576,958,777
"g58487",2798,2954,3204,2881,3251,3673,2650,2534,3565
"g12059",1057,883,870,622,613,593,472,819,516
"g57935",3474,3562,4120,3286,3468,4164,3275,2694,3499
"g15692",121,98,47,20,19,9,7,13,8
"g14064",23,18,23,32,29,34,38,15,72
"g53132",679,817,780,854,680,863,719,607,969
"g51668",2163,2638,1924,2146,1820,3024,2343,1474,2990
"adi2mcaRNA18922_R1",319,326,138,110,62,107,88,78,106
"adi2mcaRNA19635_R0",1504,1639,1710,1136,1236,1187,854,1284,1213
"g33621",2158,1868,2277,1474,1510,1429,1117,1738,1287
"g33628",83,126,143,154,70,210,103,89,211
"g56768",442,530,973,742,630,669,576,456,781
"g56767",17009,16853,19185,15187,13970,11207,7242,16396,9227
"g22334",2542,2891,2549,2566,2045,3329,2391,1707,3359
"g23129",60,60,67,42,82,75,163,32,67
"g32571",5,22,23,37,22,54,25,11,35
"g41454",282,300,398,320,266,507,378,152,488
"g22332",78,107,132,127,112,208,118,91,166
"g29987",7427,8800,9835,9710,7598,10595,7594,6406,10878
"g29986",31325,35405,44292,41226,34194,43647,30594,28692,43253
"g62917",120,85,275,298,210,260,187,155,217
"g62912",1800,1960,1562,1630,1373,2278,1752,1111,2274
"g71456",15,22,33,21,23,44,31,13,48
"g70327",508,556,583,410,454,381,284,549,344
"adi2mcaRNA16195_R0",5249,4938,6139,5691,5765,7854,5939,5259,7335
"g61770",1092,1050,966,996,832,1496,1225,627,1355
"g57090",55,68,89,87,80,113,73,37,67
"g24134",128,154,99,103,62,270,223,37,155
"g17306",40,61,57,55,32,103,50,15,84
"g17301",1243,1015,1436,852,1134,773,629,1075,818
"g4652",99,85,117,67,113,149,119,58,113
"g69563",8705,8956,9853,10589,5846,11466,9430,7254,10726
"adi2mcaRNA26447_R2",2991,2594,2901,2145,1948,2146,1531,2386,1901
"g48809",1549,1785,1823,1770,1235,1925,1594,1169,1839
"g57202",3123,2665,3466,2411,2602,2034,1646,2655,1996
"g7386",4846,4861,6136,4801,5211,3763,3010,4627,3558
"g61996",259,327,456,362,311,388,316,211,430
"g61997",3633,2996,3264,2459,2762,2382,1971,2760,2398
"g3869",143,121,85,71,39,24,49,82,64
"g58523",144,334,282,255,318,383,389,193,279
"g44000",4745,4355,4822,3965,3444,3595,2239,3821,3244
"g58524",957,812,945,938,766,1265,885,695,1130
"adi2mcaRNA26096_R0",580,398,376,227,216,261,167,233,238
"g52541",1400,1305,1518,1700,899,1678,1210,1023,1953
"g4123",1315,1400,1713,1719,2035,2493,1883,1447,2586
"adi2mcaRNA7122_R0",752,605,571,471,525,302,314,423,383
"adi2mcaRNA4252_R0",53,23,57,28,14,0,16,56,11
"g34892",4646,4643,5037,3053,3782,2760,2224,3543,3077
"g34891",194,148,175,135,122,93,86,135,111
"g34894",317,244,298,196,307,94,86,198,168
"g39915",146,143,147,98,147,158,175,58,190
"g39917",175,234,161,109,171,269,214,43,290
"g4",1326,1304,1552,1251,1110,889,595,1235,915
"g2",486,541,900,848,842,976,805,691,930
"adi2mcaRNA36613_R0",245,208,287,245,206,378,277,159,324
"g43398",2702,3149,3905,3282,2554,3979,2788,2609,3731
"g28211",519,399,384,240,287,257,226,334,251
"adi2mcaRNA23599_R1",565,366,542,326,431,238,252,417,264
"g30542",1313,1212,1434,777,1012,912,627,984,754
"g38396",2773,3102,2847,2737,2118,3966,2298,1771,3629
"g14918",775,826,1063,675,638,1237,679,697,1331
"g22483",807,935,866,825,571,1071,897,447,1153
"g22482",1860,1662,2049,1279,1311,1166,919,1628,981
"g22480",1286,1240,1242,1132,1005,1567,1165,1150,1537
"g38975",351,281,448,342,365,468,433,224,428
"g39432",1544,1527,1362,990,981,1090,807,1059,889
"g33015",240,236,250,159,203,163,115,191,151
"g39430",900,811,1050,725,635,604,463,727,572
"g39431",992,959,1025,735,725,725,471,887,650
"g60735",845,881,1195,1149,1350,1602,1297,819,1547
"g46196",238,170,177,137,128,141,62,146,106
"g46190",349,321,267,184,291,171,145,254,200
"g47026",6543,7431,8669,8311,9347,11652,8019,7283,11362
"g28973",418,414,420,395,465,596,452,378,461
"g70547",299,280,390,185,281,130,145,267,217
"g43733",2634,2889,2656,2984,2196,3577,2422,1783,3789
"g43629",323,303,368,336,269,409,293,250,363
"g33836",3891,4236,4615,3470,3849,3221,2451,3435,3082
"g62896",567,474,666,400,541,354,301,488,313
"adi2mcaRNA3177_R3",365,308,488,299,413,205,138,332,259
"g62769",704,664,880,689,692,865,633,578,730
"g62767",1154,937,1291,898,991,826,625,1009,729
"g8818",648,761,844,811,749,849,649,497,837
"g27846",412,414,426,485,219,524,412,277,612
"g27843",1141,1159,1958,1797,1695,1806,1126,774,1840
"adi2mcaRNA31050_R0",464,443,592,545,438,649,489,376,642
"g43418",488,483,462,522,449,608,464,342,564
"adi2mcaRNA6287_R0",2038,2111,2517,2225,2607,3563,2427,2028,3104
"g63386",1842,1809,2193,1278,1553,1505,1006,1633,1224
"g63385",518,523,761,501,674,340,243,616,468
"adi2mcaRNA9577_R0",303,287,370,267,221,390,289,226,365
"g55033",9179,9264,11789,11129,8382,9890,8679,7577,12494
"g48634",5071,5175,7099,6490,5601,6941,5018,4411,8111
"g48631",1037,996,884,988,895,1425,952,685,1106
"g48632",4217,4307,5279,5021,5484,6616,4022,4477,6422
"g17111",1288,1217,1464,1162,946,1032,641,1138,978
"g16990",570,493,720,764,717,953,669,647,966
"g50425",120,101,101,93,99,69,54,107,40
"g68828",2160,1860,2115,1575,1573,1286,975,1667,1415
"g10874",394,286,325,249,224,185,128,296,200
"g10871",1285,1463,1769,1509,1272,1917,1308,1248,1875
"g10870",1275,1424,1536,1631,1703,2272,1589,1601,2033
"g39897",4913,5006,6848,6384,5669,6668,4530,3974,6667
"g36355",1165,1245,1085,870,863,811,671,1143,839
"g34812",84,122,166,112,106,178,99,62,165
"g45277",610,650,736,357,401,430,241,469,349
"g1349",175,167,212,156,82,158,38,231,86
"g6691",431,555,481,396,392,381,254,453,274
"g6695",805,970,990,998,956,1615,983,763,1483
"g6697",2670,3045,3902,3900,4362,5062,3669,2626,5272
"adi2mcaRNA41381_R0",112473,118991,129915,119994,105181,141071,109345,89632,140918
"g33581",974,955,690,666,542,661,556,743,327
"g33582",603,691,490,470,368,448,300,574,275
"g2209",1546,1420,1590,1426,2170,2795,2106,781,2605
"adi2mcaRNA31154_R9",176,117,99,100,122,75,37,76,47
"g61011",2780,2725,2709,2853,2300,3103,2217,1410,3287
"g32983",194,147,196,81,150,77,82,186,91
"g32982",577,461,496,311,393,314,239,427,265
"g32981",244,261,293,122,193,135,114,193,124
"g2207",1042,827,922,768,627,628,575,889,663
"g40384",1049,905,1525,911,1178,1422,1016,1042,1403
"g40382",3827,3184,3559,2809,2783,2580,1926,2626,2742
"g40383",692,620,755,612,714,1035,573,284,1054
"g36351",2041,1994,1839,1702,1353,1445,847,1748,993
"g38587",2297,2371,1990,1671,1617,1701,1150,1655,1606
"g35072",81,68,131,136,93,126,88,46,85
"g67044",1288,1239,1239,1054,830,1512,1138,796,1416
"g37914",161,38,121,23,46,38,20,82,16
"g37913",249,120,218,60,97,73,61,129,71
"g65505",583,564,628,638,487,682,524,460,683
"adi2mcaRNA22715_R0",90,74,105,96,112,40,32,112,53
"g70997",3033,3436,3650,3612,2007,5305,3038,1899,7637
"adi2mcaRNA32703_R0",585,535,829,524,546,435,286,550,379
"g25493",192,209,285,184,208,137,99,238,82
"g25496",526,398,577,376,501,284,212,510,392
"g61062",1611,1450,1637,1111,1446,958,781,1244,1140
"g66059",536,527,715,389,498,343,229,689,428
"g68900",201,288,265,238,275,318,289,182,317
"g57318",168,166,257,260,130,294,250,148,395
"g54950",1903,1810,2237,1463,1623,1336,1079,1547,1386
"adi2mcaRNA28760_R0",2477,1967,4057,1994,2165,1050,707,2118,1284
"g17637",114,112,183,164,97,186,119,92,159
"g37352",14879,17438,18120,13492,13584,20248,13435,10079,23709
"g60594",503,593,763,851,817,896,571,622,1007
"g34130",4713,5359,8043,6738,5626,6013,4674,4399,5559
"g1894",434,390,577,451,483,591,444,266,665
"g6322",1078,1469,1061,1299,767,1839,1230,754,2007
"g6324",165,193,163,213,160,274,242,116,282
"g58923",927,823,1163,707,790,566,427,818,621
"g61314",153,175,85,115,71,71,53,149,53
"g38603",434,310,414,338,422,261,207,401,213
"g49178",1353,1150,1414,843,973,804,572,1009,673
"g4414",738,881,793,669,807,1022,696,523,1013
"g15388",443,365,367,413,288,527,377,201,476
"g48483",864,1056,983,992,707,1233,856,724,1122
"g45330",35,50,149,93,86,73,61,34,73
"g43272",670,710,758,841,702,990,558,559,850
"g64597",141,165,183,196,96,241,223,133,199
"g35303",1645,1626,1742,1312,1237,1220,994,1455,1041
"g71104",43,45,39,33,12,8,5,41,28
"g61004",931,944,732,590,555,724,471,726,503
"g36961",663,639,739,743,735,726,555,458,917
"g36962",609,414,809,744,615,827,633,511,940
"g61000",617,539,700,737,570,758,577,484,760
"g33469",785,811,975,776,693,1025,768,628,1114
"g33466",33,61,59,42,59,85,85,41,74
"g33464",2216,2506,2237,2253,2052,2848,1923,1506,2747
"g33463",895,995,1013,878,619,1300,928,705,1427
"g20456",355,342,358,342,274,257,161,270,226
"g9360",1667,1638,2351,1815,2507,2523,1739,1877,2383
"g22394",589,581,816,718,787,839,529,565,724
"g22399",2520,2546,2694,2042,2070,2036,1448,2026,1762
"g17438",19908,24308,28869,29375,22951,31112,19382,18313,29644
"g56766",1047,1078,1606,1024,1119,518,287,893,638
"adi2mcaRNA21159_R0",7408,7022,8031,5732,6260,5429,3993,5993,5391
"g7308",830,762,765,610,582,883,836,589,950
"g7309",155,175,220,121,177,236,139,65,253
"g4653",619,584,630,713,618,795,596,355,687
"g4656",1473,1445,1323,1245,1299,1672,1252,1011,1592
"g52847",588,693,677,596,489,809,581,470,789
"g52840",319,267,360,365,260,400,355,194,580
"g52841",1790,2145,2349,1998,2492,3074,2053,1936,2571
"g25261",822,858,1128,743,770,1046,751,646,943
"g12260",284,287,298,188,244,175,132,274,199
"g25268",1389,1427,1727,1712,1128,1643,1268,908,1821
"g25269",469,383,461,524,417,545,416,327,655
"g61924",2541,3033,3173,3064,2562,4533,3771,1773,4901
"g61923",1845,1887,2014,1809,1648,2401,1866,1453,2684
"g35149",736,874,846,907,705,998,730,630,959
"g63277",5640,6686,7313,6636,5367,5192,3014,4814,3669
"g35144",431,436,529,533,427,497,429,372,582
"g63273",1952,2042,1910,1418,1564,2390,1878,1046,2813
"g34815",237,135,298,300,251,283,203,126,366
"adi2mcaRNA14792_R0",9004,8479,9134,7158,6728,6984,4729,7383,6464
"g45559",2815,2463,2691,2554,2209,3072,2766,2015,2817
"g15730",774,864,1085,1142,835,1060,785,586,1213
"g36433",1265,901,1406,625,946,685,551,924,698
"g36439",1925,1759,2141,1681,1657,1379,1066,1919,1328
"g36438",1039,968,1179,847,910,1119,950,850,1131
"g32320",198,178,201,194,168,230,210,147,253
"adi2mcaRNA18038_R7",67,73,177,72,66,95,132,50,110
"g41666",2001,1930,2183,1718,1941,2465,1724,1604,2151
"g28508",2885,2786,3402,2663,2273,3073,2506,2004,3319
"g70892",6833,6109,6488,4879,4987,4415,3426,5116,4491
"g70894",320,249,472,537,328,485,270,253,450
"g19733",45,46,95,106,82,88,67,28,124
"g19732",11,19,39,35,32,44,21,22,62
"g19731",24,21,42,43,44,40,32,16,56
"g19730",893,674,999,648,722,649,417,731,533
"g41668",196,227,257,260,231,283,282,160,302
"g4436",59,60,28,20,13,13,16,25,17
"g64414",978,672,1231,640,815,487,442,843,552
"g62811",136,139,192,116,76,62,61,106,63
"g56372",1540,1683,1657,1525,1452,2013,1963,983,2230
"g65453",996,930,1239,912,603,762,475,917,627
"g33397",1264,1253,1111,885,985,832,645,1093,825
"g66221",2743,2503,2770,2022,2298,1859,1599,2356,1670
"adi2mcaRNA18654_R0",110,86,109,89,85,59,39,105,68
"g16447",927,1131,1368,1223,1176,1858,1441,834,2094
"g67685",90,79,182,147,116,103,100,67,148
"g9276",1067,1030,986,943,963,1346,885,831,1280
"g63096",526,408,522,433,338,340,261,473,318
"g57607",274,329,484,500,314,480,438,266,435
"adi2mcaRNA20281_R1",195,160,191,100,121,112,77,123,84
"g71204",2006,1712,1850,1466,1308,1398,1005,1519,1149
"g59517",808,732,759,557,507,444,420,636,464
"g56264",1046,1170,1436,1195,1261,1311,1223,773,1509
"adi2mcaRNA29105_R4",30,32,46,26,25,10,6,44,13
"g13475",175,200,255,236,287,380,231,190,316
"g58394",454,375,456,271,367,238,192,465,297
"g58393",8287,7160,8745,5797,7042,5690,4537,6835,5581
"g58391",101,109,121,135,91,186,160,87,181
"g11836",1152,982,1121,643,837,753,455,802,585
"g26238",435,445,496,385,406,684,372,315,653
"g37215",1510,1466,2578,2080,1902,2599,1692,1315,2113
"g57437",1702,1624,2140,1461,1559,1068,934,1620,1009
"g20529",10696,13079,17928,15243,12469,17032,12239,8323,14830
"g57432",19838,20312,22190,18064,16770,16987,12025,22144,15111
"g5394",1641,2150,2870,2757,1567,3400,2441,954,3441
"g43424",1580,1325,1696,1236,1343,1227,760,1549,1024
"g29752",917,859,845,687,730,653,489,722,687
"g33755",2352,1900,2879,1927,2054,1647,1338,2146,1609
"g33756",2306,2521,3277,2640,3221,3055,2562,2426,3238
"adi2mcaRNA18450_R0",894,817,864,899,580,1124,932,652,1441
"g22422",1177,1181,1602,1498,1768,1855,1470,1298,1843
"adi2mcaRNA4861_R2",468,445,489,354,320,335,197,541,267
"g23013",1869,1963,2275,1605,1550,1222,913,1614,1055
"g32480",716,802,768,711,556,529,444,620,514
"g32481",6410,5957,7751,4973,5614,4313,3199,5759,4325
"g49514",541,451,524,359,408,345,261,358,321
"g49510",370,330,575,635,698,871,716,540,713
"g42434",461,412,609,548,518,703,532,288,696
"g32156",314,310,513,590,307,620,434,269,608
"g32157",1442,1341,1403,1031,947,898,686,901,946
"g42432",948,862,826,571,512,480,410,639,497
"g42433",3423,3219,2918,2063,2201,1942,1552,2248,1779
"g43741",3189,3286,3727,3395,3790,4446,3293,3341,4306
"g6392",1119,894,1301,1216,821,1420,1250,758,1433
"g58158",1469,1417,1547,1232,1127,932,834,981,976
"g64607",2400,2194,2729,2085,2255,2913,2116,1572,3140
"g62603",668,742,792,816,430,950,673,504,945
"g62607",3505,3588,4152,3957,4111,5007,3717,3612,4868
"g62606",2386,2734,2354,2658,1698,3314,3019,1836,3594
"g71525",584,744,721,682,605,1046,738,534,947
"g27927",1982,2165,2171,1711,1556,1661,1118,1571,1466
"g11360",206,164,131,139,110,93,66,89,80
"adi2mcaRNA1239_R2",41,46,41,35,37,25,9,30,10
"g25164",64084,73957,82437,78037,89496,114171,84586,64517,109894
"g68765",1673,1853,2290,2471,2189,3444,2574,1806,3467
"g68766",263,292,372,363,283,335,271,116,374
"g69491",901,862,893,759,706,636,541,743,639
"g37427",845,707,922,444,606,533,337,635,540
"g1812",338,220,293,202,152,125,136,189,144
"g1813",387,483,382,417,240,259,218,314,237
"g1810",361,344,489,184,227,127,152,229,213
"adi2mcaRNA26440_R1",172,209,254,177,200,249,231,112,243
"g16659",1766,1549,1166,1056,1144,1026,822,1069,760
"g44175",6614,6265,6692,7409,3733,8401,5649,4084,8892
"g55721",1299,1167,1717,1637,1649,1836,1646,1437,1967
"g55722",527,571,710,648,619,764,521,467,727
"g5722",138,150,177,154,176,50,81,157,76
"g39609",2156,1670,1915,1102,1389,1091,964,1502,1047
"g39605",197,195,256,158,202,248,214,96,251
"g27725",765,788,930,701,702,953,834,598,973
"g33970",735,650,790,654,705,810,628,513,906
"adi2mcaRNA24325_R1",892,755,853,681,683,647,364,816,610
"g70636",114,43,65,55,63,27,39,96,36
"g47465",235,161,215,211,146,233,180,104,299
"g15085",531,602,706,609,798,1001,680,605,955
"g23173",2206,1979,2688,1702,1918,1461,1169,1904,1370
"g48087",1596,1779,2669,2552,2607,3278,2192,2623,2957
