"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","ontology","term"
"242","K13706",0.0235555614709341,0.999790531106889,1,4,"KEGG","abhydrolase domain-containing protein 14"
"246","K04513",0.0244378256289106,0.999774461501718,1,4,"KEGG","Ras homolog gene family, member A"
"250","K07975",0.0244724131987486,0.999773819299533,1,4,"KEGG","Rho family, other"
"254","K16585",0.0244738664790969,0.99977379229566,1,4,"KEGG","HAUS augmin-like complex subunit 2"
"258","K14443",0.0244981823089495,0.99977334023375,1,4,"KEGG","protein Tob/BTG"
"262","K16743",0.0245660548726496,0.999756982020624,1,5,"KEGG","abnormal spindle-like microcephaly-associated protein"
"267","K12757",0.0246134975851261,0.999771190168597,1,4,"KEGG","myosin regulatory light chain 12"
"271","K18171",0.0251509427132452,0.999761034129866,1,4,"KEGG","COX assembly mitochondrial protein 1"
"275","K09627",0.0282878434417877,0.999677278317397,1,5,"KEGG","serine protease 23 [EC:3.4.21.-]"
"280","K00940",0.029568843562586,0.999647202883606,1,5,"KEGG","nucleoside-diphosphate kinase [EC:2.7.4.6]"
"285","K03574",0.0296529689127842,0.999645180332302,1,5,"KEGG","8-oxo-dGTP diphosphatase [EC:3.6.1.55]"
"290","K19755",0.0300541446418241,0.99963545472061,1,5,"KEGG","radial spoke head protein 1"
"295","K14611",0.0330007216617357,0.999528805707776,1,7,"KEGG","solute carrier family 23 (nucleobase transporter), member 1"
"302","K04565",0.0408934074847283,0.999247673256542,1,9,"KEGG","superoxide dismutase, Cu-Zn family [EC:1.15.1.1]"
"311","K20097",0.0468781323733461,0.999024351290922,1,8,"KEGG","FK506-binding protein-like"
