"ontology","slim_term","slim_cat","category","term","over_represented_pvalue","numDEInCat","numInCat","dir","genes"
"BP","cellular component assembly","GO:0022607","GO:0060271","cilium assembly",0.0356316400891184,1,7,"C1 (Up)","g22529"
"BP","cellular nitrogen compound metaboli...","GO:0034641","GO:0006165","nucleoside diphosphate phosphorylation",0.0356835089091345,1,6,"C1 (Up)","g51181"
"BP","cellular nitrogen compound metaboli...","GO:0034641","GO:0042779","tRNA 3'-trailer cleavage",0.0176523377918815,1,3,"C1 (Up)","g3410"
"BP","cytoskeleton organization","GO:0007010","GO:0031110","regulation of microtubule polymerization or depolymerization",0.0238850380416745,1,4,"C1 (Up)","g9888"
"BP","generation of precursor metabolites...","GO:0006091","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c",0.0252378352248347,1,4,"C1 (Up)","g49169"
"BP","immune system process","GO:0002376","GO:0006955","immune response",0.00587250309831408,2,19,"C1 (Up)","g26013, g7400"
"BP","lipid metabolic process","GO:0006629","GO:0006644","phospholipid metabolic process",0.00544490698085663,2,18,"C1 (Up)","adi2mcaRNA5086_R1, g33742"
"BP","lipid metabolic process","GO:0006629","GO:0009395","phospholipid catabolic process",0.00812404616023199,1,2,"C1 (Up)","adi2mcaRNA23633_R0"
"BP","lipid metabolic process","GO:0006629","GO:0046488","phosphatidylinositol metabolic process",0.0235401249699101,1,5,"C1 (Up)","g9260"
"BP","response to stress","GO:0006950","GO:0006979","response to oxidative stress",0.0103687063000456,2,31,"C1 (Up)","adi2mcaRNA9177_R0, adi2mcaRNA9177_R2"
"BP","signal transduction","GO:0007165","GO:0002224","toll-like receptor signaling pathway",0.0307971526285895,1,5,"C1 (Up)","g7400"
"BP","transport","GO:0006810","GO:0007034","vacuolar transport",0.00318356906862965,2,14,"C1 (Up)","g47559, g61084"
"BP","transport","GO:0006810","GO:0050482","arachidonic acid secretion",0.00485285099567414,2,17,"C1 (Up)","adi2mcaRNA5086_R1, g33742"
"BP","transport","GO:0006810","GO:0072321","chaperone-mediated protein transport",0.0127554674438425,1,2,"C1 (Up)","g2243"
"BP","transport","GO:0006810","GO:0072488","ammonium transmembrane transport",0.00172151350587382,2,12,"C1 (Up)","g5592, g61969"
"BP",NA,NA,"GO:0006457","protein folding",0.039029499879728,2,55,"C1 (Up)","g58547, g59987"
"BP",NA,NA,"GO:0006801","superoxide metabolic process",0.00184780383229674,2,13,"C1 (Up)","adi2mcaRNA26177_R1, g21490"
"BP",NA,NA,"GO:0007017","microtubule-based process",2.22052209369132e-05,4,30,"C1 (Up)","g21661, g36881, g36885, g61845"
"BP",NA,NA,"GO:0007059","chromosome segregation",0.0414232245992795,1,7,"C1 (Up)","g17911"
"BP",NA,NA,"GO:0055114","oxidation-reduction process",0.00734520072897646,11,867,"C1 (Up)","adi2mcaRNA2015_R0, adi2mcaRNA2015_R1, adi2mcaRNA7590_R4, adi2mcaRNA9177_R0, adi2mcaRNA9177_R2, g22384, g37889, g53997, g6751, g8562, g8563"
"MF","ATPase activity","GO:0016887","GO:0008094","DNA-dependent ATPase activity",0.0394044961338474,1,7,"C1 (Up)","g34992"
"MF","cytoskeletal protein binding","GO:0008092","GO:0003779","actin binding",0.0240516156197676,2,44,"C1 (Up)","g33249, g33252"
"MF","DNA binding","GO:0003677","GO:0003697","single-stranded DNA binding",0.0085069145372976,2,26,"C1 (Up)","g23872, g34992"
"MF","enzyme regulator activity","GO:0030234","GO:0004859","phospholipase inhibitor activity",0.0188263323221375,1,3,"C1 (Up)","g28747"
"MF","enzyme regulator activity","GO:0030234","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity",0.0306394362804337,1,5,"C1 (Up)","g47410"
"MF","enzyme regulator activity","GO:0030234","GO:0030337","DNA polymerase processivity factor activity",3.58220952843149e-05,2,2,"C1 (Up)","g43600, g5394"
"MF","ion binding","GO:0043167","GO:0005509","calcium ion binding",0.0231308029348696,9,826,"C1 (Up)","adi2mcaRNA18251_R0, g14107, g21537, g40330, g44605, g50383, g59987, g62869, g67320"
"MF","ion binding","GO:0043167","GO:0005525","GTP binding",1.1120162215705e-05,11,385,"C1 (Up)","g14064, g18095, g24134, g36881, g36885, g36901, g63296, g63598, g63658, g65539, g67875"
"MF","ion binding","GO:0043167","GO:0005542","folic acid binding",0.022438517132174,1,4,"C1 (Up)","g16338"
"MF","kinase activity","GO:0016301","GO:0004550","nucleoside diphosphate kinase activity",0.0356835089091345,1,6,"C1 (Up)","g51181"
"MF","kinase activity","GO:0016301","GO:0004715","non-membrane spanning protein tyrosine kinase activity",0.03399356722279,1,7,"C1 (Up)","adi2mcaRNA14013_R5"
"MF","kinase activity","GO:0016301","GO:0016307","phosphatidylinositol phosphate kinase activity",0.0296736298862581,1,6,"C1 (Up)","g9260"
"MF","lyase activity","GO:0016829","GO:0004451","isocitrate lyase activity",0.0109444183335801,1,2,"C1 (Up)","g40432"
"MF","methyltransferase activity","GO:0008168","GO:0004799","thymidylate synthase activity",0.0117414723592941,1,2,"C1 (Up)","g30099"
"MF","nuclease activity","GO:0004518","GO:0016891","endoribonuclease activity, producing 5'-phosphomonoesters",0.0113894481189827,1,2,"C1 (Up)","g3410"
"MF","oxidoreductase activity","GO:0016491","GO:0004601","peroxidase activity",0.00328359880468102,2,20,"C1 (Up)","adi2mcaRNA9177_R0, adi2mcaRNA9177_R2"
"MF","oxidoreductase activity","GO:0016491","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.00216021116795512,2,15,"C1 (Up)","g22384, g37889"
"MF","oxidoreductase activity","GO:0016491","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.0457378950227045,3,148,"C1 (Up)","adi2mcaRNA7590_R4, g8562, g8563"
"MF","structural molecule activity","GO:0005198","GO:0005200","structural constituent of cytoskeleton",0.00812312343779717,2,26,"C1 (Up)","g36881, g36885"
"MF","transmembrane transporter activity","GO:0022857","GO:0008519","ammonium transmembrane transporter activity",0.00484026848880091,2,19,"C1 (Up)","g5592, g61969"
"MF",NA,NA,"GO:0000150","recombinase activity",0.0177068351431563,1,3,"C1 (Up)","g34992"
"MF",NA,NA,"GO:0003677","DNA binding",9.81333689185823e-05,21,1447,"C1 (Up)","adi2mcaRNA14013_R5, adi2mcaRNA25316_R4, adi2mcaRNA25316_R5, g16180, g16183, g17877, g17879, g19731, g19732, g19733, g2209, g23800, g33802, g33804, g33806, g33809, g33812, g33815, g43600, g43951, g5394"
"MF",NA,NA,"GO:0003714","transcription corepressor activity",0.000169070920080008,2,4,"C1 (Up)","g22568, g58547"
"MF",NA,NA,"GO:0003924","GTPase activity",3.29529502415904e-05,9,280,"C1 (Up)","g14064, g24134, g36881, g36885, g63296, g63598, g63658, g65539, g67875"
"MF",NA,NA,"GO:0004620","phospholipase activity",0.0466287210524204,1,9,"C1 (Up)","adi2mcaRNA23633_R0"
"MF",NA,NA,"GO:0004623","phospholipase A2 activity",0.00523337181821902,2,18,"C1 (Up)","adi2mcaRNA5086_R1, g33742"
"MF",NA,NA,"GO:0005515","protein binding",0.0478152548929179,27,4033,"C1 (Up)","adi2mcaRNA12272_R0, adi2mcaRNA29499_R3, adi2mcaRNA33699_R1, g10865, g12315, g12772, g15947, g20161, g20927, g21752, g25687, g28163, g28164, g3094, g33292, g33511, g36478, g37210, g41941, g41942, g52058, g53451, g62917, g66994, g70208, g8795, g8796"
"MF",NA,NA,"GO:0016740","transferase activity",0.0305767984300779,2,47,"C1 (Up)","adi2mcaRNA14013_R5, g16338"
"MF",NA,NA,"GO:0020037","heme binding",0.0056775654058043,5,225,"C1 (Up)","adi2mcaRNA7590_R4, adi2mcaRNA9177_R0, adi2mcaRNA9177_R2, g8562, g8563"
"MF",NA,NA,"GO:0046982","protein heterodimerization activity",0.0268413441835212,2,44,"C1 (Up)","adi2mcaRNA25316_R4, adi2mcaRNA25316_R5"
"MF",NA,NA,"GO:0051082","unfolded protein binding",0.0204283068385551,2,40,"C1 (Up)","g58547, g59987"
"BP","biosynthetic process","GO:0009058","GO:0015986","ATP synthesis coupled proton transport",0.0450380458213534,1,19,"C2 (Down)","g56942"
"BP","immune system process","GO:0002376","GO:0006955","immune response",0.044743374373068,1,19,"C2 (Down)","g58589"
"BP","transport","GO:0006810","GO:0042908","xenobiotic transport",0.0132193208296222,2,18,"C2 (Down)","g15631, g16354"
"BP","transport","GO:0006810","GO:0071705","nitrogen compound transport",0.00194284312703359,2,10,"C2 (Down)","g15513, g59631"
"BP",NA,NA,"GO:0006508","proteolysis",0.00543235548436356,11,723,"C2 (Down)","adi2mcaRNA11812_R1, adi2mcaRNA24060_R1, adi2mcaRNA4862_R1, g13999, g25519, g32281, g348, g37913, g60537, g62259, g9020"
"MF","hydrolase activity, acting on carbo...","GO:0016810","GO:0003726","double-stranded RNA adenosine deaminase activity",0.000745213593615195,2,4,"C2 (Down)","g19795, g66818"
"MF","nucleotidyltransferase activity","GO:0016779","GO:0003968","RNA-directed 5'-3' RNA polymerase activity",0.0353354952868972,2,11,"C2 (Down)","g28199, g39276"
"MF","peptidase activity","GO:0008233","GO:0004222","metalloendopeptidase activity",0.022868157587755,4,150,"C2 (Down)","adi2mcaRNA11812_R1, adi2mcaRNA24060_R1, g13999, g60537"
"MF","peptidase activity","GO:0008233","GO:0008234","cysteine-type peptidase activity",0.00510911292289725,4,154,"C2 (Down)","g25519, g348, g37913, g62259"
"MF","peptidase activity","GO:0008233","GO:0008241","peptidyl-dipeptidase activity",0.0441207435885587,1,6,"C2 (Down)","g32281"
"MF","transmembrane transporter activity","GO:0022857","GO:0008559","ATPase-coupled xenobiotic transmembrane transporter activity",0.0132193208296222,2,18,"C2 (Down)","g15631, g16354"
"MF","transmembrane transporter activity","GO:0022857","GO:0015297","antiporter activity",0.0182601489940201,1,4,"C2 (Down)","g27862"
"MF","transmembrane transporter activity","GO:0022857","GO:0042910","xenobiotic transmembrane transporter activity",0.0182601489940201,1,4,"C2 (Down)","g27862"
"MF","transmembrane transporter activity","GO:0022857","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism",0.0310702129044696,1,10,"C2 (Down)","g56942"
"MF",NA,NA,"GO:0016887","ATPase activity",0.00118894509363057,8,166,"C2 (Down)","adi2mcaRNA31183_R2, adi2mcaRNA31183_R4, g15631, g16354, g26842, g42299, g4426, g50130"
